nstep,cstep,mu,mumax,copy,strb,score,epsilon
1315,13,0.315657421029,15.8270150258,0.557747359136,3.64988777784,0.009741809,0.010396469599
1217,13,0.80465647699,13.3222330157,0.525714773345,1.2557027782,0.010376,0.010396469599
1640,18,0.729578665849,15.0036676393,0.379070197458,6.65056875675,0.01019589,0.010396469599
1292,15,0.724679886897,15.144306796,0.214605402969,4.51276132819,0.01003788,0.010396469599
1200,14,0.36631636734,12.770739996,0.154182349887,5.7385711165,0.009402505,0.010396469599
1251,22,0.782257797254,12.5161724151,0.0920497720529,1.7516723119,0.009750078,0.010396469599
1383,12,0.781327849009,16.7654183132,0.218936987523,3.32007228363,0.009988835,0.010396469599
723,9,0.542322625597,14.4161012274,0.54141820366,3.76539760781,0.01030098,0.010396469599
1697,20,0.624984359831,17.336859821,0.516883585139,5.28440707,0.01037819,0.010396469599
1208,20,0.727768497394,15.2246863632,0.244510327991,2.16045549839,0.01024675,0.010396469599
1467,25,0.427478798839,15.2411522313,0.089729514913,0.48832122001,0.009963816,0.010396469599
1362,24,0.621596359754,13.0679745024,0.409232205964,3.07709709092,0.01025689,0.010396469599
739,9,0.675908455114,13.2659186425,0.442457713661,0.553429426896,0.01020013,0.010396469599
2369,31,0.665189107469,14.0435630059,0.362919446624,0.689675490788,0.01012581,0.010396469599
1823,23,0.612636351981,14.8046540525,0.164132829101,3.95950317395,0.00986774,0.010396469599
1707,29,0.797674643829,13.9429073023,0.588242819071,4.24470435247,0.01031965,0.010396469599
1549,24,0.265861374927,16.5733053001,0.367666679128,0.819098497129,0.009886794,0.010396469599
912,10,0.457393612953,14.6417075781,0.5801798575,4.09642706158,0.01037411,0.010396469599
1910,33,0.177760774291,13.5355103791,0.258355076753,1.14776322636,0.01032349,0.010396469599
781,13,0.597666921912,13.8559153877,0.438930942336,0.529754931417,0.01039149,0.010396469599
1169,17,0.729628087027,15.5762594232,0.427484038513,4.02205375438,0.01022297,0.010396469599
644,10,0.711744372,10.9639284545,0.0466865002206,1.2438803314,0.01022739,0.010396469599
1573,22,0.805203205811,13.2511097092,0.363755355889,2.07705493291,0.0102113,0.010396469599
1347,19,0.780429663394,14.148498187,0.324015840837,2.70837796989,0.01028941,0.010396469599
1214,16,0.671663763051,14.0606626051,0.164918936522,4.0110583874,0.01029807,0.010396469599
1473,14,0.283465552079,13.2555261203,0.0094503836985,2.02584917889,0.009864603,0.010396469599
1094,13,0.515566569665,17.053175638,0.195382388649,0.302816003312,0.009770952,0.010396469599
799,14,0.360904231322,16.4850815079,0.670970889275,2.40776186618,0.01012081,0.010396469599
1253,13,0.82249997022,13.9156964261,0.346304879996,3.38368809731,0.009632522,0.010396469599
1562,16,0.909739314173,17.6668029,0.974964027038,5.22591480313,0.01028819,0.010396469599
1292,13,0.724040886382,14.831537074,0.113568141344,0.96681018634,0.009294912,0.010396469599
1681,31,0.618729019848,12.2905121163,0.0749953081807,4.20982351662,0.01024176,0.010396469599
1716,20,0.894522970364,14.0425617026,0.733147207463,5.86997937151,0.01021597,0.010396469599
646,7,0.475394324577,14.3072075801,0.262758023256,3.97960716997,0.0103335,0.010396469599
1354,19,0.199957037186,15.8568173998,0.889831571458,2.68808156524,0.01004566,0.010396469599
1438,26,0.420692632138,13.1083671455,0.192143225718,0.338636742387,0.01017735,0.010396469599
1086,13,0.705409347226,17.0498024911,0.100760529858,1.83840038897,0.00922123,0.010396469599
813,9,0.505034879741,16.7356448512,0.541235051349,0.844057702247,0.01031409,0.010396469599
1296,21,0.244696707885,16.6219909053,0.101674097958,2.84121019073,0.009568537,0.010396469599
1096,6,0.535493174451,17.1737382794,0.150316837719,1.67553088436,0.01026685,0.010396469599
1521,20,0.770619531555,15.5915945891,0.136489825892,5.96035064526,0.0102094,0.010396469599
983,9,0.111216358541,16.2244039681,0.294739817475,2.88968068836,0.009521341,0.010396469599
1499,25,0.829150313029,13.1592661012,0.716412479973,1.78028846879,0.01026194,0.010396469599
1052,9,0.866017585766,13.4345474733,0.571714923415,1.15717734214,0.01035997,0.010396469599
1311,11,0.642844180538,16.3667143001,0.668248941753,4.66257281301,0.01006797,0.010396469599
974,12,0.547494107751,16.5203245493,0.468017464826,1.66284764083,0.009777305,0.010396469599
648,11,0.27813990918,15.0668625432,0.308501578189,1.74205981688,0.009839188,0.010396469599
1457,14,0.693823504584,14.1310354261,0.0626202868719,3.81170090872,0.01001216,0.010396469599
1327,18,0.446935035095,15.6782345314,0.200321377285,1.54528866251,0.01026036,0.010396469599
1149,20,0.593343277332,16.3589789489,0.135274047036,2.89757763268,0.01005489,0.010396469599
1698,22,0.215402047028,13.5887235906,0.403164170671,4.32098951867,0.01033596,0.010396469599
983,17,0.348858821361,15.1837227395,0.29183711553,5.8668600869,0.01026352,0.010396469599
1149,14,0.459144441479,15.0146076045,0.580913839437,0.798015005536,0.01005797,0.010396469599
477,5,0.865877801527,16.6513874068,0.221552322872,4.81024691258,0.01007829,0.010396469599
1083,12,0.673931080086,12.8341329192,0.214770256241,7.03393195628,0.01030512,0.010396469599
1010,17,0.668477364167,15.4818324839,0.484284285268,3.8464212795,0.01037984,0.010396469599
1280,17,0.853706258636,15.1834983276,0.916374166598,1.42003461264,0.00976314,0.010396469599
714,9,0.474449799927,14.8037115346,0.41337155044,10.8407290172,0.01021772,0.010396469599
318,3,0.712164914426,15.0047741078,0.0204373017427,1.40465624707,0.01027404,0.010396469599
1041,18,0.495066877263,10.6993241969,0.258456972589,0.849911554327,0.01032851,0.010396469599
2060,39,0.581268984093,11.9496331388,0.269599820895,4.29394349272,0.01035821,0.010396469599
1465,25,0.702564680708,11.9499282507,0.307453309428,3.25010063396,0.01039645,0.010396469599
774,6,0.735129008462,17.1213371392,0.552340616927,4.446423639,0.009958329,0.010396469599
1963,23,0.815932177563,16.5869920326,0.984548310264,7.11675457354,0.009894628,0.010396469599
938,8,0.691384819666,15.0660963929,0.723575950016,0.864841279292,0.009452349,0.010396469599
1100,20,0.700673123709,11.8128967079,0.73444258479,2.22073930736,0.01020656,0.010396469599
841,8,0.826977833082,16.3862058939,0.646018815079,7.25732135878,0.01021642,0.010396469599
748,9,0.663454811942,13.2039368798,0.461624722585,3.56014725407,0.01021692,0.010396469599
1490,11,0.973352544539,17.873313656,0.429098874082,3.82953487836,0.01006487,0.010396469599
1967,30,0.558467971153,13.9343755901,0.0470840431877,4.71911862264,0.01014914,0.010396469599
677,4,0.610927985324,17.1885575987,0.652018401056,1.08851530892,0.01022583,0.010396469599
1788,20,0.690855614651,12.0674362465,0.737455328773,5.15552896732,0.009973616,0.010396469599
1854,33,0.732125706854,14.3354583416,0.419503904945,4.78591093725,0.01033294,0.010396469599
459,8,0.945042342275,14.0024854211,0.384150015604,2.20975819413,0.01032797,0.010396469599
1616,19,0.793855887373,12.788351648,0.222572028102,5.18167523826,0.01025324,0.010396469599
944,15,0.453723841091,13.1063955598,0.122785245197,0.221236331865,0.00984327,0.010396469599
1555,12,0.951516891391,16.8258191825,0.444214806757,3.77462379224,0.01027273,0.010396469599
790,10,0.21584684629,14.6613159678,0.845879449938,0.241189264713,0.01024863,0.010396469599
520,5,0.662061605559,15.5924157596,0.774583193575,2.03483715751,0.01020679,0.010396469599
651,9,0.590221454459,15.4798336015,0.407522283966,0.344510472924,0.009875825,0.010396469599
1672,23,0.525049345787,16.1211318567,0.0201994634297,9.15497880779,0.01039302,0.010396469599
1372,19,0.991465542652,13.9207506096,0.507121853742,0.89946577866,0.01021977,0.010396469599
2054,23,0.987484578175,12.9039359912,0.0907116188611,4.18642247599,0.01031893,0.010396469599
976,13,0.510045480109,14.1585512868,0.232078547909,3.64986692508,0.01023877,0.010396469599
1832,36,0.368052328537,11.327202686,0.371249861393,2.84839461305,0.01024294,0.010396469599
1245,8,0.618939507322,15.8428645148,0.085058365517,3.34859819093,0.009948628,0.010396469599
2114,27,0.215574041035,12.9598539478,0.0825824740971,4.10625560922,0.01012471,0.010396469599
696,9,0.988112046598,16.3206609743,0.322412588508,1.7063124883,0.01014111,0.010396469599
1108,15,0.303206210409,13.7958958502,0.00829515347814,2.57067197879,0.009929853,0.010396469599
2472,41,0.426925926613,16.5844923528,0.927663760822,3.3632877312,0.01022613,0.010396469599
1399,25,0.694347162188,15.9068905918,0.266060411991,7.99845036436,0.01000662,0.010396469599
1542,22,0.547908796565,13.3659785678,0.899823165002,2.4255255577,0.0102197,0.010396469599
1217,18,0.422344876775,13.6853142504,0.251791759152,3.73262059497,0.01034878,0.010396469599
966,8,0.955434336006,15.0583003345,0.425123621515,4.9083087072,0.01023292,0.010396469599
556,7,0.867263813253,14.9613138415,0.265033119434,5.9380908245,0.009783332,0.010396469599
587,6,0.969695692895,15.0807061315,0.946198869699,2.05214428179,0.01008083,0.010396469599
741,13,0.720248631993,13.1447116323,0.626112047437,6.86346460917,0.01018671,0.010396469599
1453,23,0.899731455178,14.8256304883,0.246186621127,5.13691501179,0.01037568,0.010396469599
1019,11,0.768156908012,17.058090983,0.203353770841,4.13249988556,0.009896714,0.010396469599
1445,13,0.441981473673,14.5859966931,0.324533621102,3.55880121148,0.01019277,0.010396469599
1749,34,0.547309121965,14.3734297721,0.391500392021,4.18705534202,0.0102976,0.010396469599
1577,24,0.647845562483,14.1138338036,0.58315602363,4.34560395817,0.01029091,0.010396469599
1342,7,0.654396347668,16.3021042394,0.0079003598732,0.926957790751,0.009901901,0.010396469599
615,6,0.606486792417,12.2583208035,0.0665896592135,1.32740190279,0.01030411,0.010396469599
1022,16,0.919813932941,16.4263550721,0.240331888748,7.52505682768,0.01011439,0.010396469599
1095,15,0.581910414453,13.9108440316,0.721734594337,4.61986650632,0.0102348,0.010396469599
1271,16,0.441854935477,14.2090364956,0.371283338113,3.1679760202,0.009859996,0.010396469599
624,4,0.749755522627,16.7352003571,0.507479045413,0.57831344319,0.01028729,0.010396469599
572,10,0.704197602193,16.2773159601,0.119730059665,0.796713492936,0.01009286,0.010396469599
1081,13,0.59310031287,15.4770864473,0.231421746674,1.28766445457,0.01003344,0.010396469599
613,10,0.426443115549,12.3108076101,0.234585963379,1.94805899234,0.01033844,0.010396469599
1080,18,0.828931574734,15.0327152126,0.633365928247,5.70596467369,0.01024293,0.010396469599
667,3,0.429898104535,16.2619253495,0.014977147348,2.29786413558,0.009631511,0.010396469599
1318,9,0.671050540244,16.081563662,0.501821749122,5.33044046085,0.009921828,0.010396469599
1199,21,0.742459982045,11.7090495609,0.289038721706,3.16158838193,0.01011669,0.010396469599
662,6,0.4028649296,13.2988989782,0.0905087970455,3.91094908494,0.009877537,0.010396469599
488,9,0.213856022144,16.0883445003,0.367729116787,4.91656631027,0.01029372,0.010396469599
1510,12,0.443264174769,17.8741302708,0.468152676341,2.3783583492,0.009765438,0.010396469599
1093,12,0.665964552228,15.0509460754,0.954273626558,0.153523754395,0.01022821,0.010396469599
1087,7,0.919896842663,18.5165099838,0.749557954626,2.40545098813,0.01030178,0.010396469599
1643,31,0.724584112254,15.0815596406,0.382008292099,8.07383580268,0.009909872,0.010396469599
1667,16,0.363675571629,15.9341212615,0.125566376579,3.76445973038,0.01004486,0.010396469599
694,12,0.827195911807,13.2469007441,0.490156640941,1.73288895584,0.01035537,0.010396469599
1161,14,0.382353499424,13.6168509705,0.736310674039,2.38956310631,0.01020696,0.010396469599
1489,19,0.358140803957,16.528885557,0.659922060466,1.02473296326,0.00988583,0.010396469599
1239,13,0.344015531125,14.9822302755,0.108252550139,8.70046652368,0.0102283,0.010396469599
1895,19,0.428445459142,16.305287037,0.497172064955,3.2683787955,0.01033237,0.010396469599
1498,21,0.413002582302,15.8398928306,0.426682875091,3.03184769412,0.009937057,0.010396469599
1422,24,0.730327124357,12.8520668237,0.90073720199,1.66148773665,0.01016814,0.010396469599
1436,19,0.731959806116,14.8928129924,0.724951887825,2.97165825919,0.01026919,0.010396469599
1375,24,0.460912979891,13.6862011801,0.854467963231,4.42737731525,0.01028427,0.010396469599
1192,15,0.952654022032,13.5714930873,0.877402352716,5.33896250471,0.01017606,0.010396469599
874,16,0.746952250777,13.5652158117,0.111418687439,6.33805443799,0.01032886,0.010396469599
540,6,0.718591786622,15.8624153723,0.695415457294,3.28224641155,0.01029753,0.010396469599
1284,10,0.798472926503,14.5914376613,0.62082540717,0.919807580509,0.01022172,0.010396469599
1773,19,0.4056823479,15.8513342726,0.481628590687,3.84185348688,0.0100698,0.010396469599
884,16,0.895465524649,13.5878303921,0.093429338773,0.978895219228,0.009569022,0.010396469599
998,10,0.668145308723,15.4413685166,0.999586795112,1.86426797288,0.01029365,0.010396469599
1018,14,0.96381709644,14.7543977255,0.504670610785,5.37942824293,0.01035467,0.010396469599
506,9,0.715140164079,14.6458522411,0.667772625531,0.111351756537,0.01032089,0.010396469599
1549,13,0.944299555009,18.0191834171,0.370663622817,1.92844105832,0.01019632,0.010396469599
1617,25,0.527492754013,15.6312296185,0.84472928608,0.426720491402,0.01023303,0.010396469599
1126,22,0.285614297168,13.4854633686,0.26163538081,2.14404229665,0.009949868,0.010396469599
1153,14,0.591835628325,17.618001486,0.672153680369,2.8727980574,0.01031979,0.010396469599
1104,11,0.904844817353,15.3902371125,0.80870660435,3.29376360664,0.01009072,0.010396469599
1609,13,0.753250751137,16.5888532567,0.0593997578546,2.27083202881,0.009708445,0.010396469599
657,8,0.454980059205,14.7785479607,0.140115076731,1.98482276428,0.009830858,0.010396469599
918,10,0.817162949499,14.3670317053,0.817975133664,2.18002464011,0.01025454,0.010396469599
2245,37,0.943325574134,11.8300009922,0.281830368048,2.46953896644,0.0100486,0.010396469599
914,9,0.66994393814,15.2607409874,0.445993800875,2.63520339146,0.01023912,0.010396469599
579,8,0.878381969479,13.1640458575,0.859391589419,4.90019533857,0.01029067,0.010396469599
1672,11,0.574967873071,16.7341471994,0.070669084005,3.44674676487,0.00967275,0.010396469599
955,13,0.781387615434,13.8961187069,0.658781151353,2.65444567453,0.01029045,0.010396469599
1198,15,0.562690794867,13.6201718565,0.071117155852,4.84050008849,0.01025475,0.010396469599
1080,20,0.182926765884,12.5424266386,0.286428897949,1.81240459779,0.01038058,0.010396469599
1252,12,0.587965741074,13.8480150916,0.194329224354,2.93123769322,0.01014126,0.010396469599
